query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
66,47,0.90485334,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
66,109,0.89787674,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
67,48,0.923559,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
67,137,0.88678855,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
67,177,0.88429135,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
68,193,0.9727412,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
68,119,0.9458879,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
68,200,0.9412619,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
69,9,0.9448187,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
69,26,0.94464844,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
69,169,0.9442574,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
70,83,0.9322231,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
70,117,0.9305145,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
70,82,0.92208487,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
71,147,0.89700836,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
71,171,0.87969947,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
71,26,0.8750945,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
72,208,0.9409288,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
72,111,0.9317034,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
72,44,0.92654794,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
73,189,0.9643627,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
73,163,0.9360012,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
73,144,0.9282933,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
74,174,0.9486594,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
74,211,0.9357135,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
74,103,0.932924,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
75,187,0.9512282,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
75,179,0.930636,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
75,206,0.8689794,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
76,77,0.9606607,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
76,115,0.9599543,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
76,128,0.95970327,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
77,115,0.98651737,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
77,197,0.98564726,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
77,37,0.9819014,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
78,146,0.9494691,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
78,169,0.9387583,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
78,132,0.93801504,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
79,161,0.9421026,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
79,124,0.9281315,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
79,113,0.9163943,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
80,7,0.92198986,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
80,78,0.92172897,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
80,146,0.9129142,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
81,13,0.9328216,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
81,142,0.9235345,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
81,175,0.92024696,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
82,133,0.92819,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
82,174,0.9254238,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
82,198,0.9236177,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
83,119,0.94506276,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
83,200,0.93713367,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
83,176,0.93665266,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
84,108,0.952416,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
84,152,0.9458261,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
84,204,0.9433477,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
85,101,0.9391261,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
85,110,0.9306871,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
85,204,0.92845774,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
86,144,0.9531883,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
86,156,0.9506173,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
86,196,0.94981295,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
87,15,0.9108069,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
87,157,0.9095502,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
87,8,0.90411603,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
88,169,0.91923743,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
88,15,0.91890204,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
88,29,0.91416854,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
89,119,0.8887431,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
89,32,0.87687266,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
89,2,0.87300193,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
90,105,0.94732684,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
90,3,0.9154501,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
90,119,0.9132599,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
91,105,0.9136378,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
91,138,0.90426564,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
91,90,0.89973485,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
92,139,0.937384,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
92,78,0.9339613,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
92,132,0.9329303,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
93,40,0.93443716,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
93,132,0.9334747,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
93,83,0.9318109,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
94,60,0.8780727,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
94,104,0.8760581,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
94,30,0.8733143,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
95,63,0.984189,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
95,24,0.96596295,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
95,46,0.90480995,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
96,66,0.99075365,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
96,47,0.9039783,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
96,175,0.8940511,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
97,178,0.9705337,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
97,103,0.967352,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
97,211,0.94217604,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
98,139,0.93652016,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
98,198,0.9342641,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
98,9,0.9306071,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
99,30,0.90179086,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
99,165,0.8956228,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
99,189,0.8829148,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
100,50,0.9378844,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
100,127,0.92691433,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
100,22,0.8836031,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
101,204,0.94229114,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
101,85,0.9391261,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
101,132,0.9338911,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
102,126,0.90084726,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
102,148,0.8960379,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
102,162,0.8913173,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
103,178,0.98444283,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
103,97,0.967352,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
103,211,0.9481872,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
104,195,0.94996345,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
104,204,0.94144726,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
104,172,0.94024575,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
105,90,0.94732684,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
105,119,0.9433011,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
